message,report_time,disaster_category,information_type,report_classification,timestamp
9AAD10853D80034C00000A78002A6189580111B000000000000000137B49280,2024-01-01T09:59:00.000Z,震源,発表,優先,2024-01-01T18:59:59+09:00
53AD18853D800053C244000000000000000000000000000000000010AEC0B78,2024-01-01T09:59:00.000Z,震度,発表,優先,2024-01-01T19:00:19+09:00
9AAD18854E800054E244000000000000000000000000000000000013DC66FFC,2024-01-01T10:29:00.000Z,震度,発表,優先,2024-01-01T19:29:59+09:00
C6AD10854F00034C00000A9C052C61895E01126000000000000000122D8302C,2024-01-01T10:30:00.000Z,震源,発表,優先,2024-01-01T19:31:39+09:00
9AAD18854F000054E24400000000000000000000000000000000001374E25C4,2024-01-01T10:30:00.000Z,震度,発表,優先,2024-01-01T19:31:59+09:00
53AD1885598000559244000000000000000000000000000000000013BDB4190,2024-01-01T10:51:00.000Z,震度,発表,優先,2024-01-01T19:52:19+09:00
9AAD10855A80034C00000AB2052D61895E0112600000000000000011CE317E8,2024-01-01T10:53:00.000Z,震源,発表,優先,2024-01-01T19:53:59+09:00
53AD18855A80005592440000000000000000000000000000000000130B629BC,2024-01-01T10:53:00.000Z,震度,発表,優先,2024-01-01T19:54:19+09:00
C6ACA8856F0001E8F67C37FF33C1FFCD547FF3555FFCD5E7FF35A011DA43D08,2024-01-01T11:30:00.000Z,津波,発表,最優先,2024-01-01T20:30:15+09:00
9AACA8856F0001E8F67C37FF35A5FFCD727FF382000000000000001262F75EC,2024-01-01T11:30:00.000Z,津波,発表,最優先,2024-01-01T20:30:23+09:00
53AD1885728000571B4400000000000000000000000000000000001075600D4,2024-01-01T11:37:00.000Z,震度,発表,優先,2024-01-01T20:37:19+09:00
53AD10857300034C00000AE3052E61894C0111500000000000000013DB63218,2024-01-01T11:38:00.000Z,震源,発表,優先,2024-01-01T20:39:19+09:00
9AAD1885730000571B440000000000000000000000000000000000124A36E24,2024-01-01T11:38:00.000Z,震度,発表,優先,2024-01-01T20:39:59+09:00
C6AD18858B000058A244000000000000000000000000000000000012633B694,2024-01-01T12:22:00.000Z,震度,発表,優先,2024-01-01T21:22:39+09:00
